epoch,avg_reward,success_rate,collisions,actor_loss,critic_loss
1,-79.247,0.0,0,11.03443,315.93326
2,-59.024,0.0,0,8.26721,249.44826
3,-17.652,0.0,0,3.22685,168.30063
4,-38.560,0.0,0,5.61731,178.54436
5,-58.772,0.0,0,8.45629,270.26620
6,-78.975,0.0,0,10.96029,314.83090
7,-38.325,0.0,0,5.58197,206.45505
8,-38.739,0.0,0,5.53504,203.15640
9,-38.524,0.0,0,5.44324,180.05840
10,-18.105,0.0,0,2.87456,144.66566
11,-58.220,0.0,0,8.00500,254.85706
12,-58.920,0.0,0,7.98382,228.52094
13,-58.895,0.0,0,8.13393,267.91968
14,-18.256,0.0,0,2.52753,123.84510
15,-17.439,0.0,0,2.68595,162.49170
16,-38.355,0.0,0,5.29684,203.94962
17,-38.357,0.0,0,5.19849,216.45999
18,-17.219,0.0,0,2.52540,168.81784
19,-17.305,0.0,0,2.54174,165.63242
20,-80.261,0.0,0,10.72982,310.89645
21,-17.934,0.0,0,2.28160,144.40932
22,-17.732,0.0,0,2.12569,136.38251
23,-38.717,0.0,0,4.84318,187.77269
24,-17.727,0.0,0,2.14022,142.43195
25,-17.671,0.0,0,2.14848,169.63409
26,2.176,0.0,0,-0.79293,79.58993
27,3.289,0.0,0,-0.73247,130.99159
28,2.799,0.0,0,-0.69525,103.93508
29,-17.251,0.0,0,1.71820,168.37407
30,3.519,0.0,0,-0.73038,129.46761
31,-17.062,0.0,0,1.64704,160.52942
32,2.757,0.0,0,-1.06567,103.98283
33,3.250,0.0,0,-1.02392,118.54675
34,3.530,0.0,0,-1.32267,137.85889
35,3.095,0.0,0,-1.27915,120.97523
36,3.835,0.0,0,-1.19062,143.98308
37,-16.804,0.0,0,1.52799,174.04721
38,2.662,0.0,0,-1.22906,88.13474
39,-16.950,0.0,0,1.48055,178.60721
40,-17.529,0.0,0,1.31014,157.82115
41,3.219,0.0,0,-1.33536,117.56198
42,-16.732,0.0,0,1.39619,174.39899
43,4.107,0.0,0,-1.30231,147.45479
44,3.637,0.0,0,-1.46621,134.58774
45,-16.661,0.0,0,1.12651,182.14644
46,3.706,0.0,0,-1.30762,131.85484
47,-16.648,0.0,0,1.36759,174.68771
48,-17.504,0.0,0,1.15951,153.53041
49,3.615,0.0,0,-1.56263,134.21901
50,4.502,0.0,0,-1.20462,149.13127
